membership,school,url
www.arl.org,University of Alabama Libraries,http://www.lib.ua.edu/
www.arl.org,"University at Albany, SUNY, Libraries",http://library.albany.edu/
www.arl.org,University of Alberta Libraries,http://www.library.ualberta.ca/
www.arl.org,University of Arizona Libraries,http://www.library.arizona.edu/
www.arl.org,Arizona State University Libraries,http://lib.asu.edu/
www.arl.org,Auburn University Libraries,http://www.lib.auburn.edu/
www.arl.org,Boston College Libraries,http://www.bc.edu/libraries/
www.arl.org,Boston Public Library,http://www.bpl.org/
www.arl.org,Boston University Libraries,http://www.bu.edu/library/
www.arl.org,Brigham Young University Library,http://www.lib.byu.edu/
www.arl.org,University of British Columbia Library,http://www.library.ubc.ca/
www.arl.org,Brown University Library,http://www.brown.edu/Facilities/University_Library/
www.arl.org,"University at Buffalo, SUNY, Libraries",http://library.buffalo.edu/
www.arl.org,University of Calgary - Libraries and Cultural Resources,http://library.ucalgary.ca/
www.arl.org,"University of California, Berkeley Library",http://www.lib.berkeley.edu/index.html
www.arl.org,"University of California, Davis Library",http://www.lib.ucdavis.edu/
www.arl.org,"University of California, Irvine Libraries",http://www.lib.uci.edu/
www.arl.org,UCLA Library,http://www.library.ucla.edu/
www.arl.org,"University of California, Riverside Library",http://library.ucr.edu/
www.arl.org,UC San Diego Library,http://www.ucsd.edu/libraries/
www.arl.org,"University of California, Santa Barbara Libraries",http://www.library.ucsb.edu/
www.arl.org,Case Western Reserve University Libraries,http://library.case.edu/ksl/index.aspx
www.arl.org,Center for Research Libraries,http://www.crl.edu/
www.arl.org,University of Chicago Library,http://www.lib.uchicago.edu/e/index.html
www.arl.org,University of Cincinnati Libraries,http://www.libraries.uc.edu/
www.arl.org,University of Colorado at Boulder Libraries,http://ucblibraries.colorado.edu/
www.arl.org,Colorado State University Libraries,http://lib.colostate.edu/
www.arl.org,Columbia University Libraries,http://www.columbia.edu/cu/lweb/
www.arl.org,University of Connecticut Libraries,http://www.lib.uconn.edu/
www.arl.org,Cornell University Library,http://www.library.cornell.edu/
www.arl.org,Dartmouth College Library,http://library.dartmouth.edu/
www.arl.org,University of Delaware Library,http://www.lib.udel.edu/
www.arl.org,Duke University Libraries,http://www.lib.duke.edu/
www.arl.org,Emory University Libraries,http://web.library.emory.edu/
www.arl.org,University of Florida Libraries,http://www.uflib.ufl.edu/
www.arl.org,Florida State University Libraries,http://www.lib.fsu.edu/
www.arl.org,George Washington University Library,http://www.gwu.edu/gelman/
www.arl.org,Georgetown University Library,http://gulib.lausun.georgetown.edu/
www.arl.org,University of Georgia Libraries,http://scarlett.libs.uga.edu/
www.arl.org,Georgia Institute of Technology Library,http://www.library.gatech.edu/
www.arl.org,University of Guelph Library,http://www.lib.uoguelph.ca/
www.arl.org,Harvard University Libraries,http://lib.harvard.edu/
www.arl.org,University of Houston Libraries,http://info.lib.uh.edu/
www.arl.org,Howard University Libraries,http://www.howard.edu/library/
www.arl.org,University of Illinois at Chicago Library,http://www.uic.edu/depts/lib/
www.arl.org,University of Illinois at Urbana-Champaign Library,http://www.library.uiuc.edu/
www.arl.org,Indiana University Libraries Bloomington,http://www.libraries.iub.edu/
www.arl.org,University of Iowa Libraries,http://www.lib.uiowa.edu/
www.arl.org,Iowa State University Library,http://www.lib.iastate.edu/
www.arl.org,Johns Hopkins University Libraries,http://webapps.jhu.edu/jhuniverse/libraries/index.cfm
www.arl.org,University of Kansas Libraries,http://www.lib.ku.edu/
www.arl.org,Kent State University Libraries,http://www.kent.edu/library/index.cfm
www.arl.org,University of Kentucky Libraries,http://www.uky.edu/Libraries/
www.arl.org,Bibliothèque de l' Université Laval,http://www.bibl.ulaval.ca/
www.arl.org,Library of Congress,http://www.loc.gov/
www.arl.org,Louisiana State University Libraries,http://www.lib.lsu.edu/
www.arl.org,University of Louisville Libraries,http://library.louisville.edu/
www.arl.org,McGill University Library,http://www.mcgill.ca/library/
www.arl.org,McMaster University Libraries,http://www.mcmaster.ca/library/
www.arl.org,University of Manitoba Libraries,http://www.umanitoba.ca/libraries/
www.arl.org,University of Maryland Libraries,http://www.lib.umd.edu/
www.arl.org,University of Massachusetts Amherst Libraries,http://www.library.umass.edu/
www.arl.org,Massachusetts Institute of Technology Libraries,http://libraries.mit.edu/
www.arl.org,University of Miami Libraries,http://www.library.miami.edu/
www.arl.org,University of Michigan Library,http://www.lib.umich.edu/
www.arl.org,Michigan State University Libraries,http://www.lib.msu.edu/
www.arl.org,University of Minnesota Libraries,http://www.lib.umn.edu/
www.arl.org,University of Missouri–Columbia Libraries,http://mulibraries.missouri.edu/
www.arl.org,National Agricultural Library,http://www.nal.usda.gov/
www.arl.org,National Archives and Records Administration,http://www.archives.gov/
www.arl.org,National Library of Medicine,http://www.nlm.nih.gov/
www.arl.org,National Research Council Canada (NRCC),http://cisti-icist.nrc-cnrc.gc.ca/eng/ibp/cisti/index.html
www.arl.org,University of Nebraska–Lincoln Libraries,http://iris.unl.edu/
www.arl.org,University of New Mexico Libraries,http://www.unm.edu/libraries.html
www.arl.org,New York Public Library,http://www.nypl.org/
www.arl.org,New York State Library,http://www.nysl.nysed.gov/
www.arl.org,New York University Libraries,http://library.nyu.edu/
www.arl.org,University of North Carolina at Chapel Hill Libraries,http://www.lib.unc.edu/
www.arl.org,North Carolina State University Libraries,http://www.lib.ncsu.edu/
www.arl.org,Northwestern University Library,http://www.library.northwestern.edu/
www.arl.org,"University of Notre Dame, Hesburgh Libraries",http://www.library.nd.edu/
www.arl.org,Ohio State University Libraries,http://library.osu.edu/
www.arl.org,Ohio University Libraries,http://www.library.ohiou.edu/
www.arl.org,University of Oklahoma Libraries,http://libraries.ou.edu/
www.arl.org,Oklahoma State University Library,http://www.library.okstate.edu/
www.arl.org,University of Oregon Libraries,http://libweb.uoregon.edu/
www.arl.org,University of Ottawa Library,http://www.biblio.uottawa.ca/
www.arl.org,University of Pennsylvania Libraries,http://www.library.upenn.edu/
www.arl.org,Pennsylvania State University Libraries,http://www.libraries.psu.edu/
www.arl.org,University of Pittsburgh Libraries,http://www.library.pitt.edu/
www.arl.org,Princeton University Library,http://libweb.princeton.edu/
www.arl.org,Purdue University Libraries,http://www.lib.purdue.edu/
www.arl.org,Queen's University Library,http://library.queensu.ca/
www.arl.org,Rice University Library,http://www.rice.edu/fondren/
www.arl.org,University of Rochester Libraries,http://www.lib.rochester.edu/
www.arl.org,Rutgers University Libraries,http://www.libraries.rutgers.edu/
www.arl.org,University of Saskatchewan Library,http://library.usask.ca/
www.arl.org,Smithsonian Libraries,http://www.sil.si.edu/
www.arl.org,University of South Carolina Libraries,http://www.sc.edu/library/
www.arl.org,University of Southern California Libraries,http://www.usc.edu/libraries/
www.arl.org,Southern Illinois University Carbondale Library,http://www.lib.siu.edu/
www.arl.org,"Stony Brook University, SUNY, Libraries",http://www.sunysb.edu/library/
www.arl.org,Syracuse University Libraries,http://library.syr.edu/
www.arl.org,Temple University Libraries,http://www.library.temple.edu/
www.arl.org,"University of Tennessee, Knoxville, Libraries",http://www.lib.utk.edu/
www.arl.org,University of Texas Libraries,http://www.lib.utexas.edu/
www.arl.org,Texas A&M University Libraries,http://library.tamu.edu/
www.arl.org,Texas Tech University Libraries,http://library.ttu.edu/
www.arl.org,University of Toronto Libraries,http://www.library.utoronto.ca/
www.arl.org,Tulane University Library,http://library.tulane.edu/
www.arl.org,University of Utah Library,http://www.lib.utah.edu/
www.arl.org,Vanderbilt University Library,http://www.library.vanderbilt.edu/
www.arl.org,University of Virginia Library,http://www.lib.virginia.edu/
www.arl.org,Virginia Tech Libraries,http://www.lib.vt.edu/
www.arl.org,University of Washington Libraries,http://www.lib.washington.edu/
www.arl.org,Washington State University Libraries,http://libraries.wsu.edu/
www.arl.org,Washington University in St. Louis Libraries,http://library.wustl.edu/
www.arl.org,University of Waterloo Library,http://www.lib.uwaterloo.ca/
www.arl.org,Wayne State University Libraries,http://www.lib.wayne.edu/
www.arl.org,Western University Libraries,http://www.lib.uwo.ca/
www.arl.org,University of Wisconsin–Madison Libraries,http://www.library.wisc.edu/
www.arl.org,Yale University Library,http://www.library.yale.edu/
www.arl.org,York University Libraries,http://www.library.yorku.ca/
www.diglib.org,Amherst College,https://www.amherst.edu/library
www.diglib.org,Arizona State University Libraries,http://lib.asu.edu/
www.diglib.org,Atlanta University Center Woodruff Library,http://www.auctr.edu/
www.diglib.org,Bates College,http://www.bates.edu/library/
www.diglib.org,Baylor University,http://www.baylor.edu/lib/
www.diglib.org,Bibliotheca Alexandrina,http://www.bibalex.org/
www.diglib.org,Bowdoin College Library,https://library.bowdoin.edu/
www.diglib.org,Brown University Library,http://library.brown.edu/
www.diglib.org,Bryn Mawr College,http://www.brynmawr.edu/library/index.html
www.diglib.org,Bucknell University,http://www.bucknell.edu/x1263.xml
www.diglib.org,California Digital Library,http://www.cdlib.org/
www.diglib.org,California Institute of Technology,http://library.caltech.edu/
www.diglib.org,California State University Channel Islands,http://library.csuci.edu/
www.diglib.org,Carnegie Mellon University,http://search.library.cmu.edu/
www.diglib.org,The Claremont Colleges Library,http://libraries.claremont.edu/
www.diglib.org,Clemson University,http://www.clemson.edu/library/
www.diglib.org,Coalition for Networked Information (CNI),http://www.cni.org
www.diglib.org,Colby College,http://libguides.colby.edu/home2
www.diglib.org,Colgate University,http://exlibris.colgate.edu/default.html
www.diglib.org,Columbia University,http://www.columbia.edu/cu/lweb/
www.diglib.org,Cornell University,http://campusgw.library.cornell.edu
www.diglib.org,Dallas Museum of Art,https://www.dma.org/research/library
www.diglib.org,Dartmouth College,http://library.dartmouth.edu/
www.diglib.org,DePauw University,http://www.depauw.edu/libraries/
www.diglib.org,Duke University,http://library.duke.edu/
www.diglib.org,Emory University,http://www.emory.edu/home/academics/libraries.html
www.diglib.org,Florida State University,https://www.lib.fsu.edu/
www.diglib.org,Furman University,http://libguides.furman.edu/library/home
www.diglib.org,George Washington University,http://www.gwu.edu/libraries
www.diglib.org,Georgetown University,http://www.georgetown.edu/research/libraries/index.html
www.diglib.org,Georgia State University,http://library.gsu.edu/
www.diglib.org,Georgia Institute of Technology,http://www.library.gatech.edu/
www.diglib.org,Getty Research Institute,http://www.getty.edu/research/library/
www.diglib.org,Grinnell College,https://www.grinnell.edu/libraries
www.diglib.org,Harvard University,http://library.harvard.edu/
www.diglib.org,Haverford College,http://library.haverford.edu/
www.diglib.org,Indiana University,http://libraries.iub.edu/
www.diglib.org,Iowa State University,http://www.lib.iastate.edu/
www.diglib.org,Johns Hopkins University,http://www.library.jhu.edu/#
www.diglib.org,Joint Information Systems Committee,http://www.jisc.ac.uk/
www.diglib.org,Kenyon College,https://lbis.kenyon.edu/
www.diglib.org,Lafayette College,https://library.lafayette.edu/frontpage
www.diglib.org,Lehigh University,http://library.lehigh.edu/
www.diglib.org,Library of Congress,http://www.loc.gov/
www.diglib.org,Los Alamos National Laboratory Research Library,http://www.lanl.gov/library/
www.diglib.org,Macalester College,http://www.macalester.edu/library/
www.diglib.org,McGill University,https://www.mcgill.ca/library/library-and-collections
www.diglib.org,McMaster University,http://library.mcmaster.ca/
www.diglib.org,Marquette University,http://www.marquette.edu/library/
www.diglib.org,Massachusetts Institute of Technology,http://libraries.mit.edu/
www.diglib.org,Metropolitan New York Library Council (METRO),http://www.metro.org/
www.diglib.org,Middle Tennessee State University,http://library.mtsu.edu/
www.diglib.org,Middlebury College,http://www.middlebury.edu/academics/lib
www.diglib.org,Montana State University,http://www.lib.montana.edu/
www.diglib.org,Mount Holyoke College,https://www.mtholyoke.edu/lits
www.diglib.org,National Archives and Records Administration,http://www.archives.gov/index.html
www.diglib.org,National Library of Medicine,http://www.nlm.nih.gov/
www.diglib.org,New York Art Resources Consortium (NYARC),http://www.nyarc.org/
www.diglib.org,New York Public Library,http://digital.nypl.org/
www.diglib.org,New York University,http://www.nyu.edu/library/
www.diglib.org,North Carolina State University Libraries,http://www.lib.ncsu.edu/
www.diglib.org,Northeastern University,http://library.northeastern.edu/
www.diglib.org,Northwestern University Library,http://www.library.northwestern.edu/
www.diglib.org,Occidental College,http://www.oxy.edu/library
www.diglib.org,OCLC Research,http://www.oclc.org/research/
www.diglib.org,The Ohio State University,http://library.osu.edu/
www.diglib.org,Oregon State University Libraries,http://osulibrary.oregonstate.edu/
www.diglib.org,"Pennsylvania State University, University Libraries",http://www.libraries.psu.edu/psul/home.html
www.diglib.org,Philadelphia Museum of Art,http://www.philamuseum.org/library/
www.diglib.org,Princeton Theological Seminary,http://www.ptsem.edu/library/
www.diglib.org,Princeton University Library,http://libweb.princeton.edu/
www.diglib.org,Purdue University,https://www.lib.purdue.edu/
www.diglib.org,Reed College,http://library.reed.edu/
www.diglib.org,Rhodes College,http://www.rhodes.edu/barret/
www.diglib.org,Rice University,http://www.rice.edu/fondren/
www.diglib.org,St. Lawrence University,http://www.stlawu.edu/library/
www.diglib.org,St. Olaf College,http://www.stolaf.edu/library/
