school,url
Amherst College,https://www.amherst.edu/library
Arizona State University Libraries,http://lib.asu.edu/
Atlanta University Center Woodruff Library,http://www.auctr.edu/
Bates College,http://www.bates.edu/library/
Baylor University,http://www.baylor.edu/lib/
Bibliotheca Alexandrina,http://www.bibalex.org/
Bowdoin College Library,https://library.bowdoin.edu/
Brown University Library,http://library.brown.edu/
Bryn Mawr College,http://www.brynmawr.edu/library/index.html
Bucknell University,http://www.bucknell.edu/x1263.xml
California Digital Library,http://www.cdlib.org/
California Institute of Technology,http://library.caltech.edu/
California State University Channel Islands,http://library.csuci.edu/
Carnegie Mellon University,http://search.library.cmu.edu/
The Claremont Colleges Library,http://libraries.claremont.edu/
Clemson University,http://www.clemson.edu/library/
Coalition for Networked Information (CNI),http://www.cni.org
Colby College,http://libguides.colby.edu/home2
Colgate University,http://exlibris.colgate.edu/default.html
Columbia University,http://www.columbia.edu/cu/lweb/
Cornell University,http://campusgw.library.cornell.edu
Dallas Museum of Art,https://www.dma.org/research/library
Dartmouth College,http://library.dartmouth.edu/
DePauw University,http://www.depauw.edu/libraries/
Duke University,http://library.duke.edu/
Emory University,http://www.emory.edu/home/academics/libraries.html
Florida State University,https://www.lib.fsu.edu/
Furman University,http://libguides.furman.edu/library/home
George Washington University,http://www.gwu.edu/libraries
Georgetown University,http://www.georgetown.edu/research/libraries/index.html
Georgia State University,http://library.gsu.edu/
Georgia Institute of Technology,http://www.library.gatech.edu/
Getty Research Institute,http://www.getty.edu/research/library/
Grinnell College,https://www.grinnell.edu/libraries
Harvard University,http://library.harvard.edu/
Haverford College,http://library.haverford.edu/
Indiana University,http://libraries.iub.edu/
Iowa State University,http://www.lib.iastate.edu/
Johns Hopkins University,http://www.library.jhu.edu/#
Joint Information Systems Committee,http://www.jisc.ac.uk/
Kenyon College,https://lbis.kenyon.edu/
Lafayette College,https://library.lafayette.edu/frontpage
Lehigh University,http://library.lehigh.edu/
Library of Congress,http://www.loc.gov/
Los Alamos National Laboratory Research Library,http://www.lanl.gov/library/
Macalester College,http://www.macalester.edu/library/
McGill University,https://www.mcgill.ca/library/library-and-collections
McMaster University,http://library.mcmaster.ca/
Marquette University,http://www.marquette.edu/library/
Massachusetts Institute of Technology,http://libraries.mit.edu/
Metropolitan New York Library Council (METRO),http://www.metro.org/
Middle Tennessee State University,http://library.mtsu.edu/
Middlebury College,http://www.middlebury.edu/academics/lib
Montana State University,http://www.lib.montana.edu/
Mount Holyoke College,https://www.mtholyoke.edu/lits
National Archives and Records Administration,http://www.archives.gov/index.html
National Library of Medicine,http://www.nlm.nih.gov/
New York Art Resources Consortium (NYARC),http://www.nyarc.org/
New York Public Library,http://digital.nypl.org/
New York University,http://www.nyu.edu/library/
North Carolina State University Libraries,http://www.lib.ncsu.edu/
Northeastern University,http://library.northeastern.edu/
Northwestern University Library,http://www.library.northwestern.edu/
Occidental College,http://www.oxy.edu/library
OCLC Research,http://www.oclc.org/research/
The Ohio State University,http://library.osu.edu/
Oregon State University Libraries,http://osulibrary.oregonstate.edu/
"Pennsylvania State University, University Libraries",http://www.libraries.psu.edu/psul/home.html
Philadelphia Museum of Art,http://www.philamuseum.org/library/
Princeton Theological Seminary,http://www.ptsem.edu/library/
Princeton University Library,http://libweb.princeton.edu/
Purdue University,https://www.lib.purdue.edu/
Reed College,http://library.reed.edu/
Rhodes College,http://www.rhodes.edu/barret/
Rice University,http://www.rice.edu/fondren/
St. Lawrence University,http://www.stlawu.edu/library/
St. Olaf College,http://www.stolaf.edu/library/
Smith College,http://www.smith.edu/libraries/
Smithsonian Institution Libraries,http://www.sil.si.edu/
Southern Methodist University,http://www.smu.edu/Libraries
Stanford University,http://www-sul.stanford.edu
Stony Brook University Libraries,http://library.stonybrook.edu/
Swarthmore College,http://www.swarthmore.edu/libraries
Temple University,http://library.temple.edu/
Texas A & M University,http://library.tamu.edu/
Trinity University,http://library.trinity.edu/
University of Alabama,http://www.ua.edu/libraries.html
"University at Albany, SUNY",http://library.albany.edu/
University of Alberta,http://www.library.ualberta.ca/
University of Arizona,http://www.arizona.edu/topics/libraries
